02, denver,    nikodemus,  services,       katello,        dnvr0cuomkat1,       52:54:00:9B:65:00,   192.168.1.50,   centos8_300g.qcow2, 4096,  2

02, boulder,   nikodemus,  services,       haproxy,        bldr0cuomapisvr1,    52:54:00:9B:65:02,   192.168.1.51,   centos8_20g.qcow2,  4096,  2
03, boulder,   nikodemus,  develop,        amazon,         bldr0cuomaws,        52:54:00:9B:65:03,   192.168.1.52,   centos8_20g.qcow2,  4096,  2
04, boulder,   nikodemus,  develop,        coding,         bldr0cuomdev1,       52:54:00:9B:65:04,   192.168.1.53,   centos8_20g.qcow2,  4096,  2
05, boulder,   nikodemus,  develop,        coding,         bldr0cuomdev2,       52:54:00:9B:65:05,   192.168.1.54,   centos8_20g.qcow2,  4096,  2
06, boulder,   nikodemus,  develop,        coding,         bldr0cuomdev3,       52:54:00:9B:65:06,   192.168.1.55,   centos8_20g.qcow2,  4096,  2
07, boulder,   nikodemus,  develop,        coding,         bldr0cuomdev4,       52:54:00:9B:65:07,   192.168.1.56,   centos8_20g.qcow2,  4096,  2
08, boulder,   nikodemus,  docker,         docker,         bldr0cuomdock1,      52:54:00:9B:65:08,   192.168.1.57,   centos8_20g.qcow2,  4096,  2
09, boulder,   nikodemus,  develop,        git,            bldr0cuomgit1,       52:54:00:9B:65:09,   192.168.1.58,   centos8_20g.qcow2,  4096,  2
10, boulder,   nikodemus,  services,       haproxy,        bldr0cuomhap1,       52:54:00:9B:65:0A,   192.168.1.59,   centos8_20g.qcow2,  4096,  2
11, boulder,   nikodemus,  elasticstack,   data,           bldr0cuomifed1,      52:54:00:9B:65:0B,   192.168.1.60,   centos8_20g.qcow2,  4096,  2
12, boulder,   nikodemus,  elasticstack,   data,           bldr0cuomifed2,      52:54:00:9B:65:0C,   192.168.1.61,   centos8_20g.qcow2,  4096,  2
13, boulder,   nikodemus,  elasticstack,   kibana,         bldr0cuomifek1,      52:54:00:9B:65:0D,   192.168.1.62,   centos8_20g.qcow2,  4096,  2
14, boulder,   nikodemus,  elasticstack,   logging,        bldr0cuomifel1,      52:54:00:9B:65:0E,   192.168.1.63,   centos8_20g.qcow2,  4096,  2
15, boulder,   nikodemus,  elasticstack,   logging,        bldr0cuomifel2,      52:54:00:9B:65:0F,   192.168.1.64,   centos8_20g.qcow2,  4096,  2
16, boulder,   nikodemus,  elasticstack,   logging,        bldr0cuomifel3,      52:54:00:9B:65:10,   192.168.1.65,   centos8_20g.qcow2,  4096,  2
17, boulder,   nikodemus,  elasticstack,   master,         bldr0cuomifem1,      52:54:00:9B:65:11,   192.168.1.66,   centos8_20g.qcow2,  4096,  2
18, boulder,   nikodemus,  elasticstack,   master,         bldr0cuomifem2,      52:54:00:9B:65:12,   192.168.1.67,   centos8_20g.qcow2,  4096,  2
19, boulder,   nikodemus,  elasticstack,   master,         bldr0cuomifem3,      52:54:00:9B:65:13,   192.168.1.68,   centos8_20g.qcow2,  4096,  2
20, boulder,   nikodemus,  kubernetes,     worker,         bldr0cuomknode1,     52:54:00:9B:65:14,   192.168.1.69,   centos8_20g.qcow2,  4096,  2
21, boulder,   nikodemus,  kubernetes,     worker,         bldr0cuomknode2,     52:54:00:9B:65:15,   192.168.1.70,   centos8_20g.qcow2,  2048,  2
22, boulder,   nikodemus,  kubernetes,     worker,         bldr0cuomknode3,     52:54:00:9B:65:16,   192.168.1.71,   centos8_20g.qcow2,  2048,  2
23, boulder,   nikodemus,  kubernetes,     master,         bldr0cuomkube1,      52:54:00:9B:65:17,   192.168.1.72,   centos8_20g.qcow2,  4096,  2
24, boulder,   nikodemus,  kubernetes,     master,         bldr0cuomkube2,      52:54:00:9B:65:18,   192.168.1.73,   centos8_20g.qcow2,  4096,  2
25, boulder,   nikodemus,  kubernetes,     master,         bldr0cuomkube3,      52:54:00:9B:65:19,   192.168.1.74,   centos8_20g.qcow2,  4096,  2
26, boulder,   nikodemus,  develop,        laravel,        bldr0cuomlar1,       52:54:00:9B:65:1A,   192.168.1.75,   centos8_20g.qcow2,  4096,  2
27, boulder,   nikodemus,  openshift,      boot,           bldr0cuomokdboot,    52:54:00:9B:65:1B,   192.168.1.76,   centos8_20g.qcow2,  4096,  2
28, boulder,   nikodemus,  openshift,      haproxy,        bldr0cuomokdhap1,    52:54:00:9B:65:1C,   192.168.1.77,   centos8_20g.qcow2,  4096,  2
29, boulder,   nikodemus,  openshift,      master,         bldr0cuomokdmst1,    52:54:00:9B:65:1D,   192.168.1.78,   centos8_20g.qcow2,  4096,  2
30, boulder,   nikodemus,  openshift,      master,         bldr0cuomokdmst2,    52:54:00:9B:65:1E,   192.168.1.79,   centos8_20g.qcow2,  4096,  2
31, boulder,   nikodemus,  openshift,      master,         bldr0cuomokdmst3,    52:54:00:9B:65:1F,   192.168.1.80,   centos8_20g.qcow2,  4096,  2
32, boulder,   nikodemus,  openshift,      service,        bldr0cuomokdsvc1,    52:54:00:9B:65:20,   192.168.1.81,   centos8_20g.qcow2,  4096,  2
33, boulder,   nikodemus,  openshift,      worker,         bldr0cuomokdwrk1,    52:54:00:9B:65:21,   192.168.1.82,   centos8_20g.qcow2,  4096,  2
34, boulder,   nikodemus,  openshift,      worker,         bldr0cuomokdwrk2,    52:54:00:9B:65:22,   192.168.1.83,   centos8_20g.qcow2,  4096,  2
35, boulder,   nikodemus,  openshift,      worker,         bldr0cuomokdwrk3,    52:54:00:9B:65:23,   192.168.1.84,   centos8_20g.qcow2,  4096,  2
36, boulder,   nikodemus,  database,       postgres,       bldr0cuompgrs1,      52:54:00:9B:65:24,   192.168.1.85,   centos8_20g.qcow2,  4096,  2
