#ID  Environment   Storage    Application    Type          Servername        MAC                 IP Address       Netmask  Network        Image                     RAM     CPU
02,  boulder,      MonkeyVMs, development,   amazon,       bldr0cuomaws1,    00:50:56:9b:01:02,  192.168.101.74,  24,      Development,   bldr0cuomrocky8_monkey,    4096,   2
# these use coreos so it doesn't matter which image is used when initialized
03,  boulder,      SlashVMs,  openshift,     openshift,    bldr0cuombst1,    00:50:56:9b:01:03,  192.168.101.98,  24,      Development,   bldr0cuomrocky8_slash,     4096,   2
04,  boulder,      SlashVMs,  openshift,     control,      bldr0cuomctl01,   00:50:56:9b:01:04,  192.168.101.101, 24,      Development,   bldr0cuomrocky8_slash,     8192,   4
05,  boulder,      SlashVMs,  openshift,     control,      bldr0cuomctl02,   00:50:56:9b:01:05,  192.168.101.102, 24,      Development,   bldr0cuomrocky8_slash,     8192,   4
06,  boulder,      SlashVMs,  openshift,     control,      bldr0cuomctl03,   00:50:56:9b:01:06,  192.168.101.103, 24,      Development,   bldr0cuomrocky8_slash,     8192,   4
07,  boulder,      MonkeyVMs, development,   source,       bldr0cuomdev1,    00:50:56:9b:01:07,  192.168.101.86,  24,      Development,   bldr0cuomrocky8_monkey,    2048,   2
08,  boulder,      SlashVMs,  development,   source,       bldr0cuomdev5,    00:50:56:9b:01:08,  192.168.101.91,  24,      Development,   bldr0cuomrocky8_slash,     2048,   2
09,  boulder,      MonkeyVMs, management,    dns,          bldr0cuomdns1,    00:50:56:9b:01:09,  192.168.101.153, 24,      Development,   bldr0cuomrocky8_monkey,    2048,   2
20,  boulder,      MonkeyVMs, management,    dns,          bldr0cuomdns2,    00:50:56:9b:01:0a,  192.168.101.154, 24,      Development,   bldr0cuomrocky8_monkey,    2048,   2
21,  boulder,      MonkeyVMs, development,   docker,       bldr0cuomdock1,   00:50:56:9b:01:0b,  192.168.101.142, 24,      Development,   bldr0cuomrocky8_monkey,    2048,   2
22,  boulder,      SlashVMs,  elk,           data,         bldr0cuomed1,     00:50:56:9b:01:0c,  192.168.101.145, 24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
23,  boulder,      SlashVMs,  elk,           data,         bldr0cuomed2,     00:50:56:9b:01:0d,  192.168.101.146, 24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
24,  boulder,      SlashVMs,  elk,           kibana,       bldr0cuomek1,     00:50:56:9b:01:0e,  192.168.101.147, 24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
25,  boulder,      SlashVMs,  elk,           logstash,     bldr0cuomel1,     00:50:56:9b:01:0f,  192.168.101.148, 24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
26,  boulder,      SlashVMs,  elk,           master,       bldr0cuomem1,     00:50:56:9b:01:10,  192.168.101.149, 24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
27,  boulder,      SlashVMs,  elk,           master,       bldr0cuomem2,     00:50:56:9b:01:11,  192.168.101.150, 24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
28,  boulder,      SlashVMs,  elk,           master,       bldr0cuomem3,     00:50:56:9b:01:12,  192.168.101.151, 24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
29,  boulder,      MonkeyVMs, development,   git,          bldr0cuomgit1,    00:50:56:9b:01:13,  192.168.101.55,  24,      Development,   bldr0cuomrocky8_monkey,    4096,   2
30,  boulder,      MonkeyVMs, automation,    runner,       bldr0cuomglrunr1, 00:50:56:9b:01:14,  192.168.101.54,  24,      Development,   bldr0cuomrocky8_monkey,    4096,   2
31,  boulder,      NikiVMs,   kubernetes,    haproxy,      bldr0cuomhap1,    00:50:56:9b:01:15,  192.168.101.61,  24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
32,  boulder,      NikiVMs,   kubernetes,    haproxy,      bldr0cuomhap2,    00:50:56:9b:01:16,  192.168.101.62,  24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
33,  boulder,      NikiVMs,   openshift,     haproxy,      bldr0cuomhap3,    00:50:56:9b:01:17,  192.168.101.63,  24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
34,  boulder,      NikiVMs,   openshift,     haproxy,      bldr0cuomhap4,    00:50:56:9b:01:18,  192.168.101.64,  24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
# centos here as there's a problem with rocky8 and podman
35,  boulder,      NikiVMs,   kubernetes,    worker,       bldr0cuomknode1,  00:50:56:9b:01:19,  192.168.101.163, 24,      Development,   bldr0cuomcentos7_morgan,  16384,   4
36,  boulder,      NikiVMs,   kubernetes,    worker,       bldr0cuomknode2,  00:50:56:9b:01:1a,  192.168.101.164, 24,      Development,   bldr0cuomcentos7_morgan,  16384,   4
37,  boulder,      NikiVMs,   kubernetes,    worker,       bldr0cuomknode3,  00:50:56:9b:01:1b,  192.168.101.165, 24,      Development,   bldr0cuomcentos7_morgan,  16384,   4
38,  boulder,      NikiVMs,   kubernetes,    control,      bldr0cuomkube1,   00:50:56:9b:01:1c,  192.168.101.160, 24,      Development,   bldr0cuomcentos7_morgan,   8192,   4
39,  boulder,      NikiVMs,   kubernetes,    control,      bldr0cuomkube2,   00:50:56:9b:01:1d,  192.168.101.161, 24,      Development,   bldr0cuomcentos7_morgan,   8192,   4
40,  boulder,      NikiVMs,   kubernetes,    control,      bldr0cuomkube3,   00:50:56:9b:01:1e,  192.168.101.162, 24,      Development,   bldr0cuomcentos7_morgan,   8192,   4
41,  boulder,      SlashVMs,  development,   laravel,      bldr0cuomlar1,    00:50:56:9b:01:1f,  192.168.101.60,  24,      Development,   bldr0cuomrocky8_slash,     4096,   2
42,  boulder,      NikiVMs,   kubernetes,    storage,      bldr0cuomnfs1,    00:50:56:9b:01:20,  192.168.101.170, 24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
43,  boulder,      NikiVMs,   openshift,     storage,      bldr0cuomnfs2,    00:50:56:9b:01:21,  192.168.101.171, 24,      Development,   bldr0cuomrocky8_morgan,    4096,   2
44,  boulder,      SlashVMs,  database,      postgresql,   bldr0cuompgrs1,   00:50:56:9b:01:22,  192.168.101.99,  24,      Development,   bldr0cuomrocky8_slash,     4096,   2
45,  boulder,      MonkeyVMs, kubernetes,    repo,         bldr0cuomrepo1,   00:50:56:9b:01:24,  192.168.101.69,  24,      Development,   bldr0cuomrocky8_monkey,    2048,   2
46,  boulder,      SlashVMs,  openshift,     repo,         bldr0cuomshift,   00:50:56:9b:01:24,  192.168.101.80,  24,      Development,   bldr0cuomrocky8_slash,     2048,   2
47,  boulder,      SlashVMs,  database,      mssql,        bldr0cuomssql1,   00:50:56:9b:01:25,  192.168.101.120, 24,      Development,   bldr0cuomrocky8_slash,     2048,   2
48,  boulder,      MonkeyVMs, management,    tool,         bldr0cuomtool11,  00:50:56:9b:01:26,  192.168.101.90,  24,      Development,   bldr0cuomrocky8_monkey,    2048,   2
49,  boulder,      SlashVMs,  openshift,     worker,       bldr0cuomwrk01,   00:50:56:9b:01:27,  192.168.101.111, 24,      Development,   bldr0cuomrocky8_slash,    16384,   4
50,  boulder,      SlashVMs,  openshift,     worker,       bldr0cuomwrk02,   00:50:56:9b:01:28,  192.168.101.112, 24,      Development,   bldr0cuomrocky8_slash,    16384,   4
51,  boulder,      SlashVMs,  openshift,     worker,       bldr0cuomwrk03,   00:50:56:9b:01:29,  192.168.101.113, 24,      Development,   bldr0cuomrocky8_slash,    16384,   4
52,  boulder,      SlashVMs,  openshift,     worker,       bldr0cuomwrk04,   00:50:56:9b:01:2a,  192.168.101.114, 24,      Development,   bldr0cuomrocky8_slash,    16384,   4
53,  boulder,      SlashVMs,  openshift,     worker,       bldr0cuomwrk05,   00:50:56:9b:01:2b,  192.168.101.115, 24,      Development,   bldr0cuomrocky8_slash,    16384,   4
54,  boulder,      SlashVMs,  openshift,     worker,       bldr0cuomwrk06,   00:50:56:9b:01:2c,  192.168.101.116, 24,      Development,   bldr0cuomrocky8_slash,    16384,   4


02,  cabo,         MonkeyVMs, management,    dns,          cabo0cuomdns1,    00:50:56:9b:02:02,  192.168.102.154, 24,      QA,            cabo0cuomrocky8_monkey,    2048,   2
03,  cabo,         MonkeyVMs, management,    dns,          cabo0cuomdns2,    00:50:56:9b:02:03,  192.168.102.155, 24,      QA,            cabo0cuomrocky8_monkey,    2048,   2
04,  cabo,         SlashVMs,  elk,           data,         cabo0cuomed1,     00:50:56:9b:02:04,  192.168.102.145, 24,      QA,            cabo0cuomrocky8_slash,     4096,   2
05,  cabo,         SlashVMs,  elk,           data,         cabo0cuomed2,     00:50:56:9b:02:05,  192.168.102.146, 24,      QA,            cabo0cuomrocky8_slash,     4096,   2
06,  cabo,         SlashVMs,  elk,           kibana,       cabo0cuomek1,     00:50:56:9b:02:06,  192.168.102.147, 24,      QA,            cabo0cuomrocky8_slash,     4096,   2
07,  cabo,         SlashVMs,  elk,           logstash,     cabo0cuomel1,     00:50:56:9b:02:07,  192.168.102.148, 24,      QA,            cabo0cuomrocky8_slash,     4096,   2
08,  cabo,         SlashVMs,  elk,           master,       cabo0cuomem1,     00:50:56:9b:02:08,  192.168.102.149, 24,      QA,            cabo0cuomrocky8_slash,     4096,   2
09,  cabo,         SlashVMs,  elk,           master,       cabo0cuomem2,     00:50:56:9b:02:09,  192.168.102.150, 24,      QA,            cabo0cuomrocky8_slash,     4096,   2
10,  cabo,         SlashVMs,  elk,           master,       cabo0cuomem3,     00:50:56:9b:02:0a,  192.168.102.151, 24,      QA,            cabo0cuomrocky8_slash,     4096,   2
11,  cabo,         MonkeyVMs, automation,    runner,       cabo0cuomglrunr1, 00:50:56:9b:02:0b,  192.168.102.54,  24,      QA,            cabo0cuomrocky8_monkey,    4096,   2
12,  cabo,         NikiVMs,   kubernetes,    haproxy,      cabo0cuomhap1,    00:50:56:9b:02:0c,  192.168.102.100, 24,      QA,            cabo0cuomrocky8_morgan,    4096,   2
